employee_id,home_area,home_lat,home_lon,nearest_station,station_line,distance_to_station_km,walking_time_min,waiting_time_min,transit_time_min,transfer_time_min,n_transfers,door_to_door_time_min,commute_group,connectivity_score,adoption_potential_score,adoption_potential_group,current_transport_mode,car_access,driving_license
EMP0001,Kaltenkirchen,53.838600699801475,9.931786962094359,Kaltenkirchen,AKN-A1,2.0458191415439417,27.277588553919223,6.0,28.680759611004646,5.0,1,78.95834816492388,>60 min,14.062753254810993,45.3,Medium potential,public_transport,False,True
EMP0002,Fuhlsbüttel,53.59891578523515,9.972168780300676,Alsterdorf,U1,1.77978840477223,23.730512063629735,6.0,26.239635163023962,0.0,0,67.9701472266537,>60 min,43.559631403795265,38.7,Low potential,bike,True,True
EMP0003,Hamburg-Innenstadt,53.57014241235319,9.973732238576897,Hamburg Hauptbahnhof,U1,2.9184461609421617,38.91261547922882,6.0,33.947307137750585,0.0,0,90.8599226169794,>60 min,2.9113435594428694,9.9,Low potential,car,True,True
EMP0004,Quickborn,53.74643106254758,9.91031142333691,Quickborn,AKN-A1,1.5626875586375324,20.8358341151671,6.0,13.953226264952615,5.0,1,57.789060380119714,46-60 min,31.309789550189734,36.2,Low potential,car,True,True
EMP0005,Norderstedt,53.72117960600464,9.991391267546945,Friedrichsgabe,AKN-A1,2.9858047468581943,39.810729958109256,6.0,5.129484430923044,5.0,1,67.94021438903229,>60 min,0.0,25.7,Low potential,bike,True,True
EMP0006,Henstedt-Ulzburg,53.81657463140022,9.949927914875545,Kaltenkirchen,AKN-A1,2.3919930701191303,31.89324093492174,6.0,24.06695234142107,5.0,1,78.9601932763428,>60 min,1.7048894307713454,15.6,Low potential,car,True,True
EMP0007,Kaltenkirchen,53.85187205077488,9.973724307936497,Kaltenkirchen,AKN-A1,1.8329691407540747,24.43958854338766,6.0,30.398174614151888,5.0,1,77.83776315753954,>60 min,21.661162919958826,48.2,Medium potential,public_transport,False,False
EMP0008,Kaltenkirchen,53.82088474170903,9.934516406535277,Kaltenkirchen,AKN-A1,2.556949981818143,34.092666424241905,6.0,25.306413420391916,5.0,1,82.39907984463382,>60 min,0.0,22.2,Low potential,mixed,True,True
EMP0009,Norderstedt,53.69096126527417,9.914691226970135,Hasloh,AKN-A1,2.581068843791122,34.41425125054829,6.0,9.295756587254886,5.0,1,66.71000783780318,>60 min,0.0,44.9,Low potential,mixed,False,True
EMP0010,Fuhlsbüttel,53.63008443144462,10.033303695394823,Ohlsdorf,U1,1.3720535633298496,18.29404751106466,6.0,18.5148551861457,0.0,0,54.80890269721036,46-60 min,58.11512282280582,57.9,Medium potential,public_transport,True,True
EMP0011,Langenhorn (Hamburg),53.622015069276934,9.969469621535483,Fuhlsbüttel Nord,U1,2.1764979185769104,29.019972247692138,6.0,20.15257590199537,0.0,0,67.17254814968751,>60 min,29.39772681012104,30.4,Low potential,car,True,True
EMP0012,Henstedt-Ulzburg,53.771080229276755,9.854033464078634,Quickborn,AKN-A1,5.4796857773526435,73.06247703136859,6.0,21.87106607848094,5.0,1,117.93354310984952,>60 min,0.0,9.0,Low potential,car,True,True
EMP0013,Quickborn,53.74607628484403,9.906151012590172,Quickborn,AKN-A1,1.498500330173442,19.980004402312563,6.0,14.241584844527504,5.0,1,57.22158924684007,46-60 min,33.601172473989166,46.2,Medium potential,mixed,True,True
EMP0014,Hamburg-Innenstadt,53.51561307821687,9.95456186639767,Hamburg Hauptbahnhof,U1,5.390954159502136,71.87938879336181,6.0,48.992500021868665,0.0,0,138.87188881523048,>60 min,0.0,32.0,Low potential,mixed,False,False
EMP0015,Fuhlsbüttel,53.633291464038614,10.039764545446975,Ohlsdorf,U1,1.9203018506501257,25.60402467533501,6.0,18.07341729374673,0.0,0,61.67744196908174,>60 min,38.54352277668806,36.2,Low potential,car,True,True
EMP0016,Langenhorn (Hamburg),53.61418653270566,10.004860287519808,Ohlsdorf,U1,1.231478202220175,16.419709362935667,6.0,21.869623699340348,0.0,0,56.289333062276015,46-60 min,63.1334417261349,46.6,Medium potential,car,True,True
EMP0017,Ohlsdorf,53.590962575400866,10.027465553603964,Alsterdorf,U1,2.2484661604775757,29.979548806367678,6.0,28.57056105126229,0.0,0,76.55010985762996,>60 min,26.82857396627596,50.5,Medium potential,public_transport,False,True
EMP0018,Norderstedt,53.70198056521013,10.00180308036876,Norderstedt Mitte,U1,1.5389706624086068,20.51960883211476,6.0,2.188882054474816,0.0,0,40.70849088658957,31-45 min,52.15644537760073,51.9,Medium potential,car,True,True
EMP0019,Hamburg-Innenstadt,53.53620322314624,10.081266118344026,Hamburg Hauptbahnhof,U1,5.248656679754881,69.98208906339842,6.0,45.09795507362089,0.0,0,133.0800441370193,>60 min,0.0,21.0,Low potential,public_transport,True,True
EMP0020,Quickborn,53.74430406696726,9.96218042611483,Quickborn,AKN-A1,3.9112144722321487,52.14952629642865,6.0,10.305080760148032,5.0,1,85.45460705657668,>60 min,0.0,11.5,Low potential,car,True,True
EMP0021,Kaltenkirchen,53.82771178654986,9.938214724131692,Kaltenkirchen,AKN-A1,1.897825066204346,25.304334216057946,6.0,26.46554599507832,5.0,1,74.76988021113627,>60 min,19.34590856734099,49.2,Medium potential,public_transport,False,False
EMP0022,Langenhorn (Hamburg),53.66484479809177,9.982249544891447,Garstedt,U1,1.2659038713001332,16.878718284001778,6.0,8.383370076160741,0.0,0,43.26208836016252,31-45 min,61.90449958051294,53.4,Medium potential,car,True,True
EMP0023,Henstedt-Ulzburg,53.79371019119393,9.919152955926823,Henstedt-Ulzburg,AKN-A1,3.7746519328872523,50.3286924384967,6.0,20.99257414156914,5.0,1,94.32126658006584,>60 min,0.0,35.0,Low potential,public_transport,False,True
EMP0024,Hamburg-Innenstadt,53.525030976751495,10.00609062411921,Hamburg Hauptbahnhof,U1,3.088241937910756,41.17655917214341,6.0,46.01594040147889,0.0,0,105.19249957362231,>60 min,0.0,9.0,Low potential,car,True,True
EMP0025,Kaltenkirchen,53.81582896438355,9.991757550470176,Henstedt-Ulzburg,AKN-A1,2.3539823678317116,31.386431571089485,6.0,23.350942955585538,5.0,1,77.73737452667503,>60 min,3.0618116133787794,42.7,Low potential,public_transport,False,False
EMP0026,Norderstedt,53.68762109922539,9.96023392954198,Friedrichsgabe,AKN-A1,1.2728407466785931,16.971209955714578,6.0,4.293054155443974,5.0,1,44.26426411115855,31-45 min,41.6568640591316,72.8,High potential,public_transport,False,True
EMP0027,Fuhlsbüttel,53.61578049178891,10.050353719760766,Ohlsdorf,U1,2.056917796042626,27.42557061390168,6.0,23.10945684264435,0.0,0,68.53502745654603,>60 min,33.66654877607015,40.0,Low potential,mixed,True,True
